label,text
2,- Pour le biscuit : - 4 œufs + 2 jaunes - 110 g de sucre - 60 g de fécule + 60 g de farine - 20 g de beurre - 1 pincée de sel - Pour le sirop : - 100 g de sucre - 10 cl d’eau - 5 cl de kirsch - Pour la garniture : - 50 cl de lait - 1 gousse de vanille - 6 jaunes d’oeufs - 120 g de sucre - 20 g de Maïzena - 20 g de farine - 200 g de beurre fin + 1 noix pour la crème pâtissière - 100 g de pâte de pistache - 1 cuillère à soupe de kirsch - Pour la décoration : - 100 g de pâte d’amande blanche - 1 cuillère à soupe de cacao amer - des sujets en sucre ou en chocolat - 10 g de sucre glace
2,- 1 rouleau de pâte feuilletée ou brisée - 3 pommes - 350 g de fromage blanc - 5 oeufs - 200 g de sucre - 1 sachet de sucre vanillé
0,- 4 chèvres frais - 4 poignées de roquette (ou mâche) - 1 baguette  - miel liquide  - pesto  - 8 tomates cerises
0,"- 2 très grosses pommes de terre - 4 douzaines d'escargots en boîte - 100 g de beurre - 2 gousses d'ail - 1 bouquet de persil frais - sel, poivre"
2,"- Pour la pâte : - 200 g de farine - 1 oeuf - 1 sachet de sucre vanillé, - 100 g de beurre - Pour la garniture : - 500 g de fromage blanc entier - 4 oeufs - 200 g de sucre - 2 sachets de sucre vanillé - 1 petit pot de compote d'abricots"
2,- 2 pommes jaunes - 4 feuilles de brick - 30 g de beurre salé - 50 g de sucre roux - 10 cl de crème liquide - le jus d´une petite orange
1,"- 1,5 kg de boeuf pour la daube - 1 l de vin rouge type Cahors - 3 carottes - 2 gousses d'ail - 3 oignons - 3 échalotes - 200 g de lardons fumés - 1 bouquet garni - 10 cl d'armagnac - 50 g de jambon cru - graisse de canard - sel et poivre"
0,- 200 g de pois cassés - 2 carottes - 3 oignons - 1 gousse d'ail - 1 branche de céleri - 1 bouquet de persil - 1 feuille de laurier - 25 cl de lait ou de crème liquide
1,"- 2 cuillères à soupe d'huile végétale - 1/2 cuillère à café de graines de moutarde - 1 cuillère à café de racine de gingembre hachée - 1/2 cuillère à café de poudre de curry - 2 gros oignons épluchés et émincés - 2 piments verts fendus dans leur longueur - 1 mangue verte pelée, dénoyautée et détaillée - 1/2 cuillère à café de curcuma - 40 cl de lait de coco - 500 g de crevettes royales crues décortiquées - sel marin"
2,- 3 pommes - 8 palets bretons - 125 g de mascarpone - 1 oeuf - 30 g de sucre roux - beurre salé - liqueur de pomme
0,"- 250 g de pâte feuilletée  - 500 g de ratatouille (voir recette de ratatouille, ou prendre une ratatouille en conserve, à l'huile d'olive de préférence) - 3 oeufs entiers - 100 g de gruyère râpé  - 150 g de pignons de pin"
1,- 1 rôti de porc - 1 saucisse de Morteau - 1 petite boîte d'ananas - 100 g de beurre - sel
0,"- 800 g de poireaux - 5 oeufs - 20 cl de crème fraîche épaisse - beurre - vinaigrette - noix de muscade - sel, poivre"
0,- 5 feuilles de brick - 1/2 mangue épluchée et détaillé en morceaux - 12 bâtonnets de surimi - 4 cuillères à soupe de ricotta ou l'équivalent en fromage frais - sel et poivre
1,"- 250 g de pâtes (spaguettis, coquillettes, ou autres)   - 2 boîtes de saumon roses de 200 g (chacune) - 1 brique de 20 cl de crème légère semi-épaisse (18% de matières grasses) - ciboulette (fraîche ou surgelée) - sel, poivre"
1,- des lasagnes (suivez le mode de cuisson indiqué sur le paquet car certaines ne nécessitent pas de cuisson préalable)  - 800-900 g de tomates concassées - 2 gousses d'ail - 1 gros oignon - le reste du fromage à raclette - de la béchamel - 150 g de jambon haché - 300 g d'aubergines grillées - des herbes de provence
0,- 6 oeufs - 3 poivrons rouges - 8 à 10 tomates pelées - 1 oignon - 1 gousse d'ail - 10 cl de crème fraîche - 1 bouquet de basilic - persil
1,"- 500 g de blanc de poulet (filet) - 1 poireau - 1 petit brocolis - 2 à 3 cuillères à soupe de miel (liquide de préférence) - 7.5 cl de sauce soja - 1 pincée de cannelle - 1 pincée de gingembre moulu - poivre, piment de Cayenne"
0,"- 500 g de chevreuil - 500 g de gorge de porc - 20 g de sel  - 2 g de poivre - mie de pain - 2 oeufs - 10 cl d'armagnac  - laurier, thym, genièvre - 100 g de farine et un peu d'eau"
0,"- 24 tomates cerises - 1 boule mozzarella (di buffala si possible) - 8 cuillères à soupes de pesto - 3 cuillères à soupe de crème fraîche - 2 cuillères à soupe de jus de citron - 6 feuilles de basilic frais  - 4 tomates séchées - poivre, fleur de sel"
1,- 12 filets de julienne - 12 fines tranches de poitrine fumée - 150 g de lardons - 6 feuilles de sauge - 3 cuillères à soupe de crème fraîche - 1 citron - poivre
2,"- 2 mangues - 4 clémentines - 2 bananes - 2-3 kiwis bien fermes - sucre (en poudre, glace ou vanillé)"
1,"- 3 oeufs - 3 ou 4 vache qui rit - sel, poivre, muscade"
0,"- 100 g de petites moules cuites (= 100 g de chair) - 50 g de noix de pétoncles (12 noix) - 8 queues de crevettes moyennes - 4 gros coraux de noix de Saint-Jacques - 15 cl de vin blanc sec - 5 cl de Noilly Prat - 10 cl de crème fraîche à 35% MG - 1 grosse échalote hachée menue (ou 2 petites) - huile d'olive - un peu de maïzena diluée dans un peu d'eau - sel, poivre du moulin - piment d'Espelette en poudre"
0,"- 6 grosse bouchées feuilletées - 50 gros escargots en boîte - 150 g de jambon de Bayonne - 12 échalotes grises pelées  - 4 gousses d'ail pelées - 1 bouquet garni - 2 cas de persil haché - 50 g de mie de pain sèche - 2 dl de vin blanc sec - 1,5 cuillère à café de fond de veau déshydraté - 1,5 cuillère à soupe de matière grasse"
1,"- 1 kg de kassler fumé en tranches (ou du collet fumé) - 1,5 kg de bonnes pommes de terre - 300 g de lardons - 500 g d'oignons (au moins) - une bouteille de vin blanc (Sylvaner) - trois petits munster (ou deux)"
1,"- 1,5 kg de navarin d'agneau ou couper 1 gigot en morceaux - 1 gros oignon - 3 gousses d'ail - 4 cuillères à soupe d'huile d'olive - sel et poivre - thym et laurier - 1l de bouillon de légumes - 4 tomates - 3 poivrons(1 rouge-1vert-1jaune) - 4 aubergines - 500 g champignons de paris - -maïzena express"
2,- 8 biscottes - 25 g de beurre - 50 g de sucre de canne - 4 bananes  - une pincée de cannelle
2,- Pour la pâte levée : - 500 g de farine - 100 g de beurre - 2 oeufs - 1 verre de lait - 100 g de sucre - 1/2 paquet de levure - 1 pincée de sel - Pour le streusel : - 75 g de beurre - 75 g de sucre - 100 g de farine - 1 pincée de cannelle
2,- Pour le gâteau : - 2 oeufs - 100 g de sucre - 75 g d'amandes râpées - 25 g de fécule de pomme de terre - 1/2 citron - Pour la crème au citron : - 1 oeufs - 50 g de sucre - 1 citron (zeste + jus) - 25 g de beurre - Pour le glaçage : - 1 blanc d'oeufs - 1/2 citron - 250 g de sucre glace
1,- 400 g de nouilles fines - 100 g de lardons fumés - 250 g de mâche - 2 cuillères à soupe de crème fraiche - sel et poivre
2,- 5 pommes golden - 50 g de raisin secs - 150 g de farine - 220 g de sucre roux en poudre - crème fraîche liquide - 150 g de margarine
1,"- 800 g de navarin d'agneau - 400 g de pois chiches - 1 boîte de tomates pelées (400 g) - 2 gros oignons - 2 gousses d'ail  - coriandre, persil, cumin, safran, mélange '4 épices', cannelle - huile d'olive - 1 morceau de sucre"
1,- 8 navets ronds moyens violets - 500 g de veau cuit (reste de rôti de veau par exemple) - 500 g de jarnière de légumes (ou 1 boîte de macédoine) - 2 gousses d'ail haché - persil - sel et poivre - 1 pincée de sucre - 1/2 l de bouillon de volaille - Pour la sauce : - 1 jaune d'oeuf - 2 cuillères à soupe bombées de farine - 3 cuillères à soupe de crème fraîche
1,- 10 tranches de bacon - 2 crottins de chevre ou buche de chevre - 120 g de farine - 2 oeufs  - 5 cl d'huile - 1 sachet de levure - 20 cl de creme fraiche - sel et poivre
1,- 800 g de morue (bacalhau) - 2 oignons - 2 ails - 1 feuille de laurier - 4 pommes de terre - sauce béchamel ou 200 g de crème fraîche - sel et poivre selon goût
1,"- 4 courgettes (taille moyenne à grosse) - 12 bâtonnets de surimi ou des miettes de crabes - 6 oeufs - 2 échalotes - 3 cuillères à soupe de crème fraîche - herbes de Provence ou persil - sel, poivre - 1 cuillère à soupe de maïzena délayée dans un peu d'eau"
1,"- 1 kg de pommes de terre - 750 g de viande hachée - 1 jaune d'oeuf - 20 cl de crème fraîche - 2 oeufs durs - 1 oignon - 2 gousses d'ail - 1 petite boîte de tomates pelées - thym, laurier, persil - 1 noix de beurre"
2,"- 1 kg de pommes - 250 g de beurre mou en morceaux - 250 g de sucre - 1 citron (pour son zeste) - 5 œufs - 500 g de farine - 1 sachet de levure - 12,5 cl lait - 1 sachet de sucre vanillé - 1 noix de beurre (pour beurrer le moule)"
0,- 250 g de farine - 4 œufs - 5 cl d'huile - 20 cl de vin blanc moelleux - 200 g de lardons fumés - 200 g de gruyère râpé - 1 sachet levure chimique - 4 petits rondins de fromage de chèvre (de Camargue de préférence) - 1 noisette de beurre
1,- 230 g de pâtes sèches type Penne - 2 tranches de jambon blanc - 1 carotte - 1 échalote - 2 tomates - 2 gros cubes d'épinards surgelés - 2 cuillères à soupe de crème fraîche - 2 cuillères à soupe de parmesan - 1/2 cube de bouillon de volaille - thym - huile d'olive
1,- 5 belles pomme de terre - 15 champignons de Paris - 5 cuillères à soupe bombées de crème fraîche épaisse - 1 oignon - 100 g de gruyère râpé - sel et poivre
1,- 1 courgette - 1/2 poivron jaune - 2 tomates - 20 cl de lait - 2 cuillères a soupe de farine - 3 oeufs - poivre - sel - épices (celles que vous preferez)
0,- 1 l d'eau - 4 à 5 gousses d'ail pelées - 3 à 4 cuillères à soupe de floraline (semoule de blé très fine) - 1 oeuf - 2 cuillères à soupe d'huile - sel
2,- 700 g de pommes - 4 oeufs - 6 cuillères à soupe de sucre - 16 amaretti (petits macarons secs italiens)  - 10 g de beurre - 1 pincée de sel
1,- 500 g de veau haché - 250 g d'oignons - 2 poivrons rouges - 2 cuillères à soupe de fond de veau en poudre - 1 cuillère à café de piment d'espelette (épicerie fine) - 10 cl de vin blanc sec - 1 cuillère à soupe de concentré de tomates - sel et poivre
1,- 6 chipolatas de préférence aux herbes - 2 carottes - 2 tomates - 1 poivron - 1 oignon - 1 kub or - 250 g de riz
0,"- 16 asperges vertes (fraîches ou surgelées) - 8 tranches de jambon de Parme - 25 de parmesan râpé - 25 g de beurre mou - une barquette de roquette - huile d'olive, vinaigre balsamique"
1,"- 4 grosses pommes de terre fermes - 4 petits artichauts (ou deux gros) - 2 grosses tomates fermes - sariette - sel, poivre - huile d'olive"
1,- 1 gros oignon haché - 1 piment vert - 2 gousses d'ail - 1 boîte de champignons frais tranchés - l livre de boeuf haché - 2 tasses de riz - 1 boîte de jus de tomates - 1 boîte de tomates en morceaux - sel et poivre - épices au goût
0,"- 300 g de roquette ou autre salade (mâche, feuille de chêne) - 12 palets de chèvre frais - 3 pommes (type Granny Smith) - 200 g de cerneaux de noix - 100 g de raisins secs - brins de ciboulette - jus de citron - Pour la vinaigrette : - 6 cuillères à soupe d'huile - 3 cuillères à soupe de vinaigre balsamique - 2 cuillères à café de miel liquide - 1 cuillère à café de moutarde à l'ancienne"
2,- 80g de poudre d'amande - 125g de chocolat noir - 60g de beurre ou margarine - 125g de sucre - 3 œufs - 2 cuillères à soupe de fécule de pomme de terre
1,"- 6 tranches de jarret de veau - 500 g de tomates fraîches ou en boîte - un peu de farine - 2 cuillères à soupe d'huile - 1 gousse d'ail - l'écorce râpée d'un citron - 1 cuillère à soupe de persil haché - 1 filet d'anchois - sel, poivre"
2,- 120 g de chocolat blanc - 60 g crème liquide - 10 cl de lait - 1 sachet de gélatine en poudre  - coulis de framboise
1,"- 4 cuisses de poulet - 200 g de riz - 2 cubes de bouillon de volaille dégraissé - 1 gros oignon - 2 gousses d'ail - 1 citron - 1 oeuf - sel, poivre et origan"
1,- 2 bécasses - 2 petites bardes de lard - 4 tranches de pain de mie - 50 g de foie gras (ou de mousse de foie gras) - 2 cubes de bouillon de volaille - 20 cl d'eau tiède - 10 g de beurre - 2 cuillères à soupe d'huile - du poivre fraîchement moulu
1,- jambon cru - bouquet garni - sel et poivre - Pour la 1ère cuisson : - 5 carottes - 1 branche de céleri - 3 navets - 1 poireau - Pour la fin de cuisson : - environ 30 clous de girofle - 20 cl Porto - 5 belles oranges - 6 cuillères à soupe moutarde - 250 g miel
1,- 6 poires - 6 blancs de poulet - 1 morceau de gingembre de 10x5 cm environ - 1 boîte de lait de coco
2,- 2 melons - 2 bananes - 2 cuillères à soupe de sirop de fraise - 1 filet de citron - Smarties
2,- 200 g de cerneaux de noix hachés - 250 g de farine - 250 g de sucre - 4 oeufs - 20 cl d'huile de noix (ou tournesol) - 25 cl de vin blanc - 1 sachet de levure chimique - 1 pincée de sel
1,"- 12 filets purs d’agneau (2 par personne) - 1 cuillère à café de cumin en poudre - 1 cuillère à café de coriandre en poudre  - 1 cuillère à café de cannelle en poudre  - 2 gousses d'ail frais, pelées et hachées - 150 g de chapelure (1 boîte) - 1 bouquet de coriandre hachée - 2 citrons verts (zestes et jus) - Le jus de 4 citrons jaunes - huile d'olive  - sel et poivre"
