label,text
2,Bûche de Noël pistachée
2,Tarte aux pommes au fromage blanc
0,Salade de chèvre chaud au miel et pesto
0,Pommes de terre farcies aux escargots
2,Tarte au fromage et à l'abricot
2,Brick de pommes au caramel salé
1,Daube de boeuf à la graisse de canard
0,Soupe de pois cassés
1,Curry de crevettes à la mangue (Indien)
2,Verrines de pommes caramélisées à la Manzana
0,Tarte à la ratatouille et pignons
1,Rôti de porc à la saucisse de morteau dans son jus d'ananas
0,Flans de poireaux et coulis vert
0,Bricks surimi mangue
1,Pâtes au saumon express
1,Lasagne aux aubergines et reste de raclette
0,Pâté de poivrons
1,Poulet au miel façon wok
0,Terrine de chevreuil
0,Verrine Tricolore
1,Roulades de julienne au lard
2,Salade de fruits d'hiver chaude
1,Omelette à la vache qui rit
0,Cassolettes de la mer au Noilly
0,Escargots feuilletés à la bordelaise
1,Munster caché
1,Navarin d'agneau aux aubergines
2,Biscottes aux bananes
2,Gâteau aux 'Streusel' (Streuselkuchen)
2,Bûche à la crème de citron
1,Nouilles aux lardons et mâche
2,Gratin aux pommes d'amour
1,Tajine d'agneau aux pois chiches ( Maroc )
1,Navets farcis à la jardinière
1,Cake bacon chèvre
1,Bacalhau com Natas
1,Flan de courgettes et surimi
1,Hachis Parmentier bolognaise
2,Gâteau aux pommes de ma Mamie allemande
0,Cake aux lardons et fromage de chèvre
1,Pâtes sauce crémeuse aux légumes
1,Le gâteau forestier
1,Quiche légère du soleil
0,Soupe à l'oeuf
2,Soufflé à la pomme
1,Ascoïa de veau
1,Risotto d'été aux chipolatas
0,Asperges au jambon de parme gratinées au parmesan
1,Pommes de terre sautées aux artichauts
1,Riz au boeuf épicé
0,Salade sucrée-salée au chèvre
2,Reine de saba sans farine
1,Osso Bucco light
2,Panna cotta chocolat blanc et framboise
1,Potage au poulet grec
1,Bécasses dorées et toasts au foie gras
1,Jambon entier au miel
1,"Poulet aux poires, coco et gingembre"
2,Melon farandole
2,Gâteau aux cerneaux de noix
1,Filets d'agneau en croûte et épices douces
2,Crumble Pommes-Poires
1,Menu médiéval
0,Salade de courgettes crues aux pignons de pin
1,Divines lasagnes au boeuf
1,Salade poulet parmesan
1,Koulibiac de saumon facile
2,Gratin de pommes et fruits rouges
