doc_id,titre,type,difficulte,cout,ingredients,recette
recette_53132.xml,Poire aux épices et chocolat,Dessert,Très facile,Bon marché,- 6 belles poires pas trop mûres  - 350 g de sucre - 150 g de chocolat pâtissier  - 1 cuillère à soupe de cannelle (ou 3 bâtons) - 6 graines de cardamome - 3 étoiles de badiane - le jus et les zestes d'1 citron,"Dans une grande casserole, faire chauffer le sucre, les épices, et le jus de citron avec 75 cl d'eau, à feu moyen, pour faire un sirop léger. Peler les poires et les placer dans le sirop, faire chauffer à feu doux pendant 20 min. Pendant ce temps, faire fondre le chocolat avec une cuillère de crème fraîche pour préparer un nappage. Lorsqu'elles sont prêtes, égoutter les poires et les placer dans des ramequins individuels, puis les napper de chocolat fondu. Bon appétit ! Peut se manger chaud, dès la fin de la préparation; ou froid. Dans ce cas, ne napper les poires qu'avant le service, sinon le chocolat s'impreigne du goût des épices et perd de son goût."
recette_21340.xml,Charlotte aux noix et au café,Dessert,Très facile,Bon marché,- Pour la crème de noix : - 150 g de poudre de noix - 125 g de sucre - 125 g de beurre - Pour la crème aux œufs : - 75 g de sucre - 3 jaunes d'oeufs - 20 g de farine - 24 biscuits cuillère - Pour la sauce qui accompagne : - 2 cuillères soupe de liqueur de noix - 4 cuillères de sucre glace - 2 tasses de café serré,"Faire la crème aux noix avec le beurre fondu, et la crème aux œufs. Mélanger intimement ces 2 crèmes. On se servira de ce mélange tiède. Mettre les biscuits dans le fond du moule à charlotte. Verser le mélange des crèmes tiède dessus. Recouvrir de biscuits en les alignant bien. Couvrir d'un poids. Mettre au frigo 24 heures. Servir en arrosant dans l'assiette de sauce au café.Très fin !"
recette_12148.xml,Gâteau ardéchois,Dessert,Très facile,Bon marché,- 4 oeufs entiers - 100 g de sucre  en poudre - 100 g de farine (type Francine) - 1 sachet de levure chimique - 2 pincées de sel fin - 5 à 6 cuillères à soupe de rhum brun (flambé ou non selon goût) - 120 g de beurre - 350 g de crème de marrons vanillée,"Dans un bol, mettre les oeufs entiers, ajoutez le sucre. Bien mélanger jusqu'à ce que la préparation blanchisse. Ajouter le rhum brun (flambé ou non selon goût). Au mélange, ajoutez la farine et la levure tamisées puis le sel fin. Faire fondre le beurre tout doucement puis le verser sur la pâte. Ajouter la crème de marrons vanillée. Bien remuer. Utiliser le batteur électrique. Beurrer un moule à manqué et y verser la pâte. Mettre au four 50 mn environ à thermostat 4."
recette_26964.xml,Riz au lait à ma façon,Dessert,Très facile,Bon marché,- 1 l de lait (pour le riz) - 50 cl de lait pour le pudding - 125 g de riz rond - 100 g de sucre - 1 sachet de préparation pour pudding parfum vanille,"Rincer le riz, le recouvrir d'eau froide et le cuire 1 à 2 min. Égoutter et rincer à nouveau. Mettre le riz avec 1 litre de lait dans la cocotte-minute et faire cuire doucement 10 min (si pas de cocotte-minute compter 1/2 heure de cuisson). Pendant ce temps : Dans un saladier mélanger le sachet de pudding avec le sucre et le 1/2 litre de lait restant. Ajouter ce mélange dans la casserole de riz au lait et faire cuire encore 1 min à feu doux en mélangeant sans arrêt. Si ce dessert n'est pas destiné à des enfants on peut ajouter des raisins secs mis à macérer dans une cuillère à soupe de rhum, le temps de la préparation (sans les égoutter). Mettre en ramequins et laisser refroidir.Cette façon de faire rappelle la texture des préparations ""gâteaux de riz"" du commerce. Ce sont ces derniers qui m'ont donné l'idée du pudding car ils sont toujours présentés avec du riz dans un sachet et une sorte de poudre pour flan dans l'autre. Et j'en avais assez de voir préférer la préparation commerciale à toutes les recettes que j'ai pu tester et dont le verdict était toujours :bon mais .... trop compact ... trop bourratif !!! Lisette, forumeuse belge, m'a dit :""J'ai lu ta recette du riz au lait, sans le savoir, à part les raisins, tu as mis ta recette au point exactement comme on prépare le riz au lait chez les Flamands. Je suis heureuse de partager cette recette avec vous et j'espère qu'elle vous plaira autant qu'à nous :-)"
recette_16996.xml,Le Moelleux Chocolat d' Oncle Guillaume,Dessert,Facile,Bon marché,- 200 g beurre - 200 g chocolat pâtissier - 200 g sucre - 25 cl de crème liquide - 4 oeufs - 5 cuillère à soupe de farine,"Cela est très rapide si vous avez un micro-ondes... Faire fondre dans un grand saladier le beurre, le chocolat avec la crème liquide. Mélanger bien après... (attention : la préparation doit rester tiède après la sortie du micro-ondes) Ajouter le sucre, la farine et les oeufs entiers (battus au préalable pour incorporer plus facilement). Verser la préparation dans un moule de préférence jetable en alumunium (pour une meilleure répartition de la chaleur). Temps de cuisson : 15 minutes à 180°C (thermostat 6). A la sortie du four le moelleux doit être 'à peine cuit' au centre du moule. Laisser refroidir puis mettre au frigo qui se chargera de durcir le centre à peine cuit. Pour la pointe du chef, vous pouver rajouter quelques gouttes d'extrait de vanille ou d'oranges amères. Un conseil pour déguster votre moelleux : le passer 15 secondes puissance maxi au micro-ondes. Il en ressortira fondant à coeur... C'est magique! Bon appétit. Sur la photo, le moelleux est accompagné de glace au Spéculoos. Monbazillac"
recette_22230.xml,Cookies pépites aux flocons d'avoine,Dessert,Difficile,Bon marché,- 120 g de flocons d'avoine - 240 g de farine - 2 oeufs - 1 sachet de levure - 1 sachet de sucre vanillé - 120 g de pépites de chocolat - 150 g de sucre roux - 75 g de beurre mou - 75 g de margarine,"Préchauffer le four à 180°C. Mélanger flocons, farine et sucre (vanillé et roux), puis malaxer à la main avec oeufs, levure, sucre et beurre/margarine, ajouter ensuite les pépites. Mettre de petites boules de pâte légèrement applaties sur une plaque à pâtisserie recouverte d'une feuille de cuisson, bien espacées. Enfourner 10 mn environ, pas plus, ça continue de cuire après être sorti du four. Les flocons d'avoine donnent un croquant sans pareil. La moitié de margarine permet au cookie de ne pas trop s'étaler à la cuisson."
recette_35307.xml,Gâteau glacé au chocolat,Dessert,Très facile,Bon marché,- 250 g de chocolat noir à dessert - 150 g de beurre ramolli - 4 oeufs,"Faire fondre le chocolat, et incorporer le beurre, morceau par morceau. La pâte doit être lisse et ferme. Ajouter les jaunes d'oeuf un par un hors du feu sinon tout est raté. Battre les blancs en neige ferme, et les incorporer au chocolat fondu. Tapisser un moule à cake de papier d'aluminium. Le remplir avec la préparation et le mettre au frigo, jusqu'au lendemain. Au moment de servir, démouler le gâteau et enlever le papier d'aluminium, sinon ça ne fait pas ""pro"". Servir des petites tranches... car ce gâteau est très riche ! Les amateurs de chocolat noir seront ravis. Mais attention, ce gâteau ultra riche se consomme avec parcimonie (une tranche par personne suffit amplement). L'idéal est de l'accompagner d'une boule de glace à la vanille, ou de petits sablés pour que le convive ne mange pas que du chocolat. Penser également à faire ce dessert la veille, car il doit rester au frigo une nuit."
recette_219014.xml,"Verrines de pêche biscuitée au mascarpone, amandes et chocolat",Dessert,Facile,Bon marché,- 250 g de mascarpone - 3 pêches - 3 sachets de sucre vanillé - 15 spéculoos ou 6 galettes bretonne - 15 amandes - 1 cuillère à soupe environ de chocolat amer en poudre - 50 g de copeaux de chocolat,"Eplucher les 3 pêches et les couper en morceaux. Les mixer. Mixer à part les biscuits choisis. Mélanger dans un saladier les 2 préparations. Dans un autre saladier mélanger le mascarpone avec le chocolat en poudre et le sucre vanillé.Pour le dressage (du bas en haut de votre verrine): - mascarpone chocolat en poudre pêches mixées mascarpone amandes pêches mixées mascarpone copeaux de chocolat (ou autre décor : biscuits émiettés, amandes...)Laisser reposer au réfrigérateur durant 1h et...bon appétit !!"
recette_56701.xml,Galette des rois au chocolat à l'orange d'Elvire,Dessert,Très facile,Moyen,"- 2 pâtes feuilletées toutes prêtes (pour les pas doués, ça ira plus vite, hé hé !) - 1 oeuf + 1 oeuf baffu mélangé avec 1 cuillère à café rase de sucre cristallisé ou du sucre en poudre - 150 g de chocolat à l'orange à défaut du chocolat noir mais ce ne sera pas pareil... (Les 50g qui restent de la plaquette vous pouvez les manger mais attention à vos hanches...)ou les ajouter, au diable l'avarice - 100 g d'amandes en poudre - 50 g d'amandes effilées - 100 g de beurre ou 75 g pour celles ou ceux qui craignent pour leur ligne mais à ce stade là, on fait plus attention avec déjà tout ce que l'on va mettre dedans - 50 g de sucre en poudre - 50 cl de crème liquide (ou deux briquettes ça ira aussi)","Porter la crème a ébullition et hors du feu la mélanger au chocolat coupé en morceaux. Mélanger les 100 g de beurre et les 50 g sucre en poudre jusqu'à blanchiment, puis ajouter l'oeuf, la poudre d'amande et ensuite la préparation au chocolat, ne pas succomber à la tentation de tremper votre doigt dedans, il en manquera pour votre galette. Etaler la prépartion sur la première pâte feuilletée à 2 cm du bord, arrêter là, n'aller là pas plus loin sinon vous aurez des surprises à la cuisson. Répartir les 50 g d'amandes effilées, ne pas resquiller quelques grammes dans votre bouche. Cacher la fève dans l'appareil, ne pas l'oublier, cela ne fera pas des heureux. Mouillez les bords avec un peu d'eau puis poser la 2ème pâte dessus en appuyant légèrement pour souder. Dessiner des traits sur le dessus en laissant vagabonder votre imagination et mettre au frais une ou deux heures. Dorer avec l'oeuf battu mélangé avec la cuillère rase de sucre cristallisé. Faire cuire à 210°C (thermostat 7) pendant 10 minutes puis 20 à 25 minutes à 180°C (thermostat 6). Surveiller, la galette doit être bien dorée. Laisser tiédir et déguster. Vous pouvez la déguster froide mais non glacée Vous pouvez préparer cette galette la veille, mais la déposer dans un endroit très frais ou dans le bas du frigo et la sortir deux heures avant la dégustation, vous pouvez même la réchauffer au four chaud 200°C (thermostat 6-7) pendant 10 minutes. Comme la tradition le veux : un bon champagne"
recette_15267.xml,Gâteau nantais,Dessert,Facile,Assez Cher,- 125 g de beurre  - 150 g de sucre en poudre - 225 g de sucre glace  - 100 g de poudre d'amandes  - 40 g de farine - 3 oeufs - 3 cuillères à soupe de marmelade d'abricots - 4 cuillères à soupe de rhum - 1 pincée de sel,"Travailler le beurre ramolli avec le sucre jusqu'à ce qu'il mousse. Incorporer les amandes, les oeufs battus en omelette, la farine tamisée avec le sel et la moitié du rhum. Verser la préparation dans un moule beurré et cuire au four thermostat 6 pendant 40 mn. Arroser le gâteau avec le reste du rhum dès la sortie du four. Laisser tiédir 10 mn avant de démouler sur une grille. Mixer la marmelade d'abricots, la faire tiédir avec un peu d'eau, en enduire le gateau avec un pinceau. Délayer le sucre glace avec une cuillère à soupe d'eau chaude, puis rajouter encore de l'eau pour obtenir un mélange épais et nappant. Etaler le glaçage sur le gateau. Laisser durcir avant de servir. crémant de Loire ou Anjou moëlleux à 10°"
