doc_id,titre,type,difficulte,cout,ingredients,recette
recette_53989.xml,Salade de mâche au St-Jacques et vinaigre balsamique,Entrée,Facile,Assez Cher,"- 1 tranche de 20 à 25 g de foie gras - 1 grosse st-jacques ou 2 petites - 3 bouquets de mâche - 10 g de beurre - 1 à 2 cuillères à café d'huile de noix - vinaigre balsamique ou de framboises - sel, poivre gris","Rincer, puis essuyer les st jacques. Les escaloper en trois pour la grosse, en deux pour les petites. Faire chauffer le beurre dans une poêle, et y faire revenir les st jacques dans le beurre chaud, à feu vif, saler et poivrer. Elles doivent etre légèrement colorées et moelleuses. Disposer séparément sur une assiette le foie gras, la mâche, puis les st jacques. Déglacer la poêle avec le vinaigre, verser sur la mâche. Servir aussitôt !"
recette_21530.xml,Courgettes mimosa,Entrée,Très facile,Bon marché,- 6 très petites courgettes bien fermes - 2 oeufs - vinaigrette + herbes,Faites cuire les courgettes à la vapeur après les avoir lavées et en avoir coupé les extrémités ; elles doivent être cuites mais surtout pas trop molles ! les laisser refroidir ; faites durcir les oeufs et laissez les refroidir aussi. Coupez les courgettes en 2 dans le sens de la longueur et mettez les sur un plat de présentation ; râpez les oeufs durs sur les courgettes avec un petit moulin-râpeur ; servez très frais avec une vinaigrette à l'huile d'olive bien moutardée et plein de fines herbes .... entrée très simple et fraîche
recette_165824.xml,Tarte salée au fromage blanc,Entrée,Très facile,Bon marché,- -600 g de fromage blanc battu   - -2 ou 3 petites pommes de terre   - -100 g de fromage rapé  - -4 oeufs  - -sel et poivre - -une pâte brisée,"Faites cuire les pommes de terre épluchées dans de l'eau bouillante salée ou au cuit vapeur. Préchauffez votre four th 6, dès que les pommes de terre sont cuites les écraser en purée. Dans une jatte, mélangez le fromage blanc les œufs le fromage râpé le sel et le poivre bien mélanger et incorporer la purée de pommes de terre Tapissez un moule à manquer avec la pâte brisée, piquez le fond de tarte avec une fourchette, et ajoutez enfin la préparation. Faites cuire à four chaud pendant 40 45 minutes Délicieuse chaude ou froide avec une salade verte.Sans pâte brisée et cuite dans des petits moules en silicone, cela fait de sympathiques bouchées apéritives en y ajoutant : paprika, tomates, poivrons, courgettes, chorizo, curry..."
recette_69846.xml,Barquette d'endives saumon-pomme de terre,Entrée,Facile,Bon marché,- 2 endives - 2 pommes de terre - 200 g de saumon fumé - 8 cornichons - 1 échalote - ciboulette - huile d'olive - crème fraiche  - le jus d'un demi citron,"Faire cuire les pommes de terre dans une casserole d'eau salée bouillante pendant 20 min. Emincer finement les cornichons, le saumon et la ciboulette et réserver au frais. Une fois les pomme de terre cuites les couper en petits dés et les rajouter à la préparation de saumon. Faire une vinaigrette avec 2 cuillère d'huile d'olive, le jus d'un demi citron et 2 cuillère de crème fraiche liquide, la mélanger à la préparation au saumon. Détacher 8 feuilles d'endive bien creuses et les remplir de la préparation. Servir en entrée ou amuse-gueule."
recette_26671.xml,Demi-avocats farcis au crabe,Entrée,Facile,Moyen,- 3 avocats - 1 citron - 1 boîte de chair de crabe - 6 cuillères à soupe de mayonnaise - 2 cuillères à soupe de ketchup  - 1 cuillère à café de whisky ou de cognac - 1 cuillère à café de sauce Worcestershire,"Coupez les avocats en deux, ôtez les noyaux et arrosez de citron pour ne pas que la chair noircisse. Déposez la chair de crabe à la place des noyaux. Mélangez la mayonnaise avec le ketchup, la sauce Worcestershire et le whisky. Déposez une cuillère à café de sauce sur chaque avocat garni, mettez le reste dans un bol et servez."
recette_88320.xml,Salade de lentilles et tofu sauce soja,Entrée,Très facile,Bon marché,- 200 g de lentilles - 300 g de tofu - 4 oignons blancs (quantité selon le goût) - 3 cuillères à soupe de vinaigre balsamique - 4 cuillères à soupe de sauce soja - 2 cuillères à soupe d'huile de colza (ou toute autre huile avec un goût peu prononcé),"Faire cuire les lentilles à l'eau (mode de cuisson indiqué sur la boîte)avec les oignons blancs émincés dans l'eau de cuisson. Une fois les lentilles cuites, les égoutter et les passer à l'eau froide. Couper les carrés de tofu en petits cubes et les répartir dans les lentilles. Ajouter l'huile, le vinaigre balsamique et la sauce soja. Laisser le tofu s'imprégner des arômes, puis déguster! Peut se déguster également tiède. La sauce soja est importante car elle donne tout le goût à la salade!"
recette_26563.xml,Mousse de saumon fumé aux oeufs de saumon,Entrée,Très facile,Assez Cher,- 250 g de saumon fumé - 20 cl de crème épaisse allégée - 1 pot d'oeufs de saumon,"Mixer le saumon sans échauffer la chair, lorsqu'il est réduit en purée incorporer la crème fraîche et la moitié du pot d'oeufs de saumon. Ajouter 2 cuillers à soupe d'aneth, saler et poivrer. Mettre au frais au moins 1 h et présenter avec le reste d'oeufs de saumon et quelques brins d' aneth sur le dessus. Un délice servi avec des blinis maison."
recette_15238.xml,Saint-Jacques en petit pain,Entrée,Très facile,Moyen,- 1 petit pain individuel (de longueur 20 cm environ) - 2 cuillères à soupe d'huile olive - 1 tour de poivre du moulin - 4 noix et corail de Saint jacques - 1 bonne branche de cerfeuil frais - sel - 1 cuillere de crème fraîche (facultatif) - 1 feuille de papier d'aluminium de 30cm x 30cm,"Couper le dessus du petit pain en faisant comme un couvercle, conserver ce couvercle. Evider le petit pain en lui otant la mie (elle n'est pas utilisée pour cette recette). Mettre au fond du petit pain un trait d'huile d'olive, et du cerfeuil frais. Mettre les noix de coquille et le corail, en tassant bien le tout. Poivrez et salez. Refermer le petit pain avec son couvercle, l'enfermer hermétiquement dans la feuille de papier d'aluminium, et mettre à four très chaud (220°C) pendant 13 mn. Servir en papillotes. Vous pouvez ajouter 1 cuillère de crème fraîche lors de l'ouverture du couvercle. La noix de st jacque a cuit à l'étouffée dans le pain, ce qui lui laisse toute sa saveur.A déguster avec le pain qui croustille et qui a gardé la saveur de la coquille. Saint nicolas de bourgeuil rosé, mercurey blanc."
recette_220616.xml,Moules au lait de coco,Entrée,Facile,Bon marché,- 1 kg de moules - 20 cl de lait de coco - 1 poireau émincé - 1 oignon émincé - 1 cuillère à soupe de farine - 1/2 cuillère à café d'ail en poudre - 1 noix de beurre - sel - poivre,"Nettoyer et laver les moules. Les cuire sur un feu vif pendant 5 ou 10 min avec un peu de sel et du poivre. Enlever la 1/2 coquille et garder la seconde coquille avec la bête. Les maintenir au chaud dans la marmite.A part, émincer le poireau et l'oignon. Les cuire dans un noix de beurre, avec l'ail et sel/poivre. Les légumes doivent rester un peu al dente. Puis, ajouter la farine et enfin le lait de coco. Attendre en mélangeant un léger épaississement. Verser la sauce très chaude sur le moule et servir immédiatement. Déguster cette recette avec du riz blanc ou tout seul en rien."
recette_72797.xml,Salade chinoise au poulet à la citronnelle,Entrée,Très facile,Bon marché,- 700 g de blanc de poulet - 1 gousse d'ail - 3 cuillères à café de gingembre (frais et râpé) - 2 tiges de citronnelle fraîche (ou surgelée et râpée) - 1/2 chou chinois ou salade iceberg - quelques carottes (selon les goûts) - 6 oignons nouveaux (les petits) - sauce de soja (pas trop salée) - 3 cuillères à soupe huile d'arachide - 2 cuillères à soupe de vinaigre de riz - 1 citron vert (le jus et le zeste) - 2 cuillères à soupe de sucre roux - un peu de piment frais ou en pot (pâte de piment rouge) - une poignée de cacahuètes non salées - 5 tiges de coriandre fraîche (ou menthe),"Découper le poulet en petits morceaux puis le faire mariner pendant au moins 4 h dans la marinade. La marinade Mélanger la gousse d'ail pressée avec le gingembre et la citronelle hachée et mettre au moins 5 cuillères à soupe de sauce de soja. Prendre un saladier et mélanger le poulet et la marinade (si le poulet n'est pas assez imbibé, rajouter de la sauce soja, faire attention si elle est salée...). Mettre le saladier au réfrigérateur couvert d'un film plastique pendant 4 h au moins. Une fois que le poulet a bien mariné, le faire revenir à feu vif dans une poêle avec un peu d'huile. Il doit être bien doré. Le réserver. Couper le chou ou salade iceberg en fines lanières, râper les carottes (on peut en mettre un peu, beaucoup cela dépend de vos goûts...), émincer les oignons nouveaux, écraser les cacahuètes. Pour la sauce de la salade, mélanger l'huile d'arachide, le vinaigre de riz et la sauce de soja ( es quantités sont à titre indicatif, le mieux est de goûter en la faisant...). Rajouter le jus du citron vert ainsi que le zeste de la moitié du citron. Mettre enfin le sucre roux et un peu de piment. Mélanger le poulet avec tous les ingrédients, rajouter la sauce, parsemer de feuilles de coriandre et de cacahuètes écrasées. C'est prêt! Plat d'été ou de soirée festive, en entrée ou en plat, à vous de choisir!"
